x,y,z,resistivity,chargeability
511020,459150,581,467.69,10.96
510000,459398,610,409.22,11.82
511010,458997,574,570.32,10.28
510721,459023,578,803.7,17.83
509993,459450,610,229.85,3.65
509875,459190,595,196.52,17.21
510872,459059,578,356.97,9.3
509767,459169,595,59.22,17.54
511320,459037,574,1546.28,12.19
510000,459398,610,409.59,12.08
511129,459001,572,1082.93,16.75
509870,459110,625,460.68,15.35
511071,459043,576,513.96,12.52
511161,458800,569,171.48,9.81
510621,459055,583,263.22,9.36
510022,459171,591,500.19,19.88
510921,459063,579,851.43,18.07
510220,459096,601,19.18,20.46
510120,459165,601,229.54,21.87
509650,459394,601,180.74,17.96
509968,459170,584,169.33,16.89
509992,459600,612,138.71,22.71
510824,459058,573,283.93,17.03
510022,459171,591,515.25,14.48
509970,459110,625,183.96,18.49
510870,459035,578,495.13,12.82
511008,459250,588,842.24,18.41
511070,459019,576,537.02,12.72
511020,459042,577,372.02,11.87
509870,459090,651,636.85,16.96
511123,459598,586,419.54,19.49
510010,459450,609,807.66,13.63
509750,459395,602,213.5,23.41
510010,459700,613,502.38,15.28
510621,459055,583,397.06,14.48
511121,459014,576,863.78,14.97
510872,459059,578,813.63,9.84
510571,459017,583,387.55,19.41
509850,459400,600,89.69,28.36
510670,459057,581,206.94,16.2
511129,459001,572,783.66,17.42
509997,459750,616,224.33,21.2
511125,458850,568,1200.84,11.95
510220,459170,596,206.46,19.69
509870,459169,591,1424.94,12.76
509870,459110,625,33.54,13.68
510824,459058,573,479.3,10.65
510324,459194,599,194.05,16.78
510969,459040,577,630.22,16.38
510969,459040,577,728.26,12.43
510270,459170,596,225.13,20.02
510012,459300,597,846.49,15.08
510150,459400,603,1142.32,16.92
509850,459441,600,67.32,28.96
510168,459163,595,242.16,14.91
509991,459400,608,454.05,14.38
509968,459170,584,71.34,24.22
510921,459019,583,690.79,12.23
511018,459099,577,754.32,14.36
511120,459058,578,736.73,15.86
510466,459173,600,382.19,14.65
509968,459170,584,629.72,19.09
509989,459650,611,173.55,17.55
509970,459090,630,28.82,5.34
509820,459110,624,93.09,21.94
510011,459400,608,907.07,13.48
511125,459201,579,314.06,15.14
510010,459450,609,820.72,18.69
511073,459060,579,466.56,16.56
510817,459036,571,722.37,14.51
510824,459058,573,494.94,12.96
511016,459050,576,589.67,11.41
509990,459350,606,273.37,16.45
