x,y,z,resistivity,chargeability,profil_id
511020,459017,576,660.25,16.43,profil 1
511020,459017,576,663.11,13.61,profil 1
511020,459017,576,1233.58,15.0,profil 1
511020,459017,576,1062.23,16.19,profil 1
511020,459017,576,1036.38,14.43,profil 1
511020,459017,576,433.31,20.91,profil 1
511020,459017,576,328.74,12.16,profil 1
511020,459017,576,580.28,16.43,profil 1
511020,459017,576,660.91,16.62,profil 1
511020,459017,576,663.57,13.44,profil 1
511020,459017,576,537.31,13.31,profil 1
511020,459017,576,607.1,13.53,profil 1
511020,459017,576,1234.48,14.97,profil 1
511020,459017,576,1062.21,14.96,profil 1
511020,459017,576,1036.31,17.29,profil 1
511070,459019,576,350.1,13.12,profil 1
511070,459019,576,429.08,15.54,profil 1
511070,459019,576,525.08,16.14,profil 1
511070,459019,576,557.17,13.58,profil 1
511070,459019,576,467.85,12.87,profil 1
511070,459019,576,537.02,12.72,profil 1
511070,459019,576,1128.33,14.77,profil 1
511070,459019,576,995.43,15.31,profil 1
511070,459019,576,873.43,17.3,profil 1
511070,459019,576,349.42,13.18,profil 1
511070,459019,576,428.2,15.6,profil 1
511070,459019,576,523.72,16.26,profil 1
511070,459019,576,556.49,13.38,profil 1
511070,459019,576,466.89,12.96,profil 1
511070,459019,576,536.08,12.97,profil 1
511070,459019,576,1125.38,14.75,profil 1
511070,459019,576,990.77,15.5,profil 1
511070,459019,576,873.75,16.17,profil 1
511121,459014,576,250.94,14.9,profil 1
511121,459014,576,357.22,15.89,profil 1
511121,459014,576,416.28,13.36,profil 1
511121,459014,576,292.89,13.4,profil 1
511121,459014,576,621.01,13.34,profil 1
511121,459014,576,863.78,14.97,profil 1
511121,459014,576,750.43,12.01,profil 1
511121,459014,576,865.1,20.27,profil 1
511121,459014,576,250.64,14.9,profil 1
511121,459014,576,356.82,15.88,profil 1
511121,459014,576,415.81,13.44,profil 1
511121,459014,576,292.37,13.33,profil 1
511121,459014,576,620.73,13.31,profil 1
511121,459014,576,861.99,15.13,profil 1
511121,459014,576,750.98,17.4,profil 1
511121,459014,576,862.56,13.89,profil 1
511170,459017,575,269.87,12.5,profil 1
511170,459017,575,334.36,12.27,profil 1
511170,459017,575,313.99,12.91,profil 1
511170,459017,575,515.62,12.6,profil 1
511170,459017,575,622.04,15.09,profil 1
511170,459017,575,796.33,14.45,profil 1
511170,459017,575,896.27,15.2,profil 1
511221,459020,575,507.09,11.94,profil 1
511221,459020,575,473.08,12.65,profil 1
511221,459020,575,683.99,11.73,profil 1
511221,459020,575,860.5,14.09,profil 1
511221,459020,575,1118.74,13.35,profil 1
511221,459020,575,1188.7,14.45,profil 1
511270,459019,569,383.55,12.15,profil 1
511270,459019,569,622.61,11.03,profil 1
511270,459019,569,875.34,13.14,profil 1
511270,459019,569,1200.22,12.38,profil 1
511270,459019,569,1270.04,13.72,profil 1
511320,459021,570,453.59,10.11,profil 1
511320,459021,570,800.0,12.27,profil 1
511320,459021,570,1213.35,11.27,profil 1
511320,459021,570,1306.18,12.55,profil 1
511320,459021,570,705.41,10.43,profil 1
511320,459021,570,1299.15,9.74,profil 1
511320,459021,570,1331.31,11.87,profil 1
511430,459019,562,2022.77,6.42,profil 1
511430,459019,562,1788.79,9.4,profil 1
511472,459024,568,1304.45,9.96,profil 1
509767,459169,595,68.92,20.72,profil 10
509767,459169,595,96.97,17.96,profil 10
509767,459169,595,59.22,17.54,profil 10
509767,459169,595,61.07,17.06,profil 10
509767,459169,595,59.39,12.94,profil 10
509767,459169,595,36.06,7.49,profil 10
509767,459169,595,54.18,28.74,profil 10
509767,459169,595,58.43,11.63,profil 10
509767,459169,595,30.49,22.53,profil 10
509767,459169,595,68.73,20.85,profil 10
509767,459169,595,96.75,17.78,profil 10
509767,459169,595,59.02,17.45,profil 10
509767,459169,595,60.96,16.66,profil 10
509767,459169,595,59.27,14.39,profil 10
509767,459169,595,36.63,14.88,profil 10
509767,459169,595,53.23,21.44,profil 10
509767,459169,595,30.5,22.4,profil 10
509767,459169,595,68.79,21.09,profil 10
509767,459169,595,96.78,17.7,profil 10
509767,459169,595,59.06,17.2,profil 10
509767,459169,595,60.81,16.39,profil 10
509767,459169,595,59.37,15.54,profil 10
509767,459169,595,36.7,13.75,profil 10
509767,459169,595,52.77,28.57,profil 10
509767,459169,595,58.4,26.34,profil 10
509824,459167,594,383.96,15.94,profil 10
509824,459167,594,417.72,12.09,profil 10
509824,459167,594,145.12,14.07,profil 10
509824,459167,594,105.71,15.44,profil 10
509824,459167,594,98.96,14.78,profil 10
509824,459167,594,62.09,16.07,profil 10
509824,459167,594,75.82,20.8,profil 10
509824,459167,594,72.22,22.47,profil 10
509824,459167,594,24.47,3.87,profil 10
509824,459167,594,381.78,15.95,profil 10
